,代码,名称
814,787,*ST创智
815,780,ST平能
816,769,*ST大菲
817,765,*ST华信
818,763,锦州石化
819,760,斯太退
820,748,长城信息
821,730,*ST环保
822,722,湖南发展
823,699,S*ST佳纸
824,693,华泽退
825,689,ST宏业
826,675,ST银山
827,670,*ST盈方
828,662,天夏退
829,660,*ST南华
830,658,ST海洋
831,653,ST九州
832,630,铜陵有色
833,621,*ST比特
834,618,吉林化工
835,605,渤海股份
836,602,金马集团
837,594,国恒退
838,588,PT粤金曼
839,583,S*ST托普
840,578,盐湖集团
841,569,长城股份
842,562,宏源证券
843,556,PT南洋
844,549,S湘火炬
845,542,TCL通讯
846,535,*ST猴王
847,527,美的电器
848,522,白云山A
849,515,攀渝钛业
850,511,烯碳退
851,508,琼民源A
852,418,小天鹅A
853,412,ST五环
854,406,石油大明
855,405,ST鑫光
856,47,ST中侨
857,33,新都退
858,24,招商地产
859,18,神城A退
860,15,PT中浩A
861,13,*ST石化A
862,3,PT金田A
863,300316,晶盛机电
864,300866,安克创新
865,301193,家联科技
866,601088,中国神华
867,300041,回天新材
868,688682,霍莱沃
869,300573,兴齐眼药
870,603392,万泰生物
871,300709,精研科技
872,2556,辉隆股份
873,2812,恩捷股份
874,2637,赞宇科技
875,688179,阿拉丁
876,688157,松井股份
877,603399,吉翔股份
878,600211,西藏药业
879,600080,金花股份
880,603290,斯达半导
881,688005,容百科技
882,963,华东医药
883,603939,益丰药房
884,601958,金钼股份
885,300778,新城市
886,600098,广州发展
887,600129,太极集团
888,600318,新力金融
889,600803,新奥股份
890,2817,黄山胶囊
891,603520,司太立
892,300671,富满微
893,3031,中瓷电子
894,688086,紫晶存储
895,502,*ST绿景
896,603733,仙鹤股份
897,958,东方能源
898,2476,宝莫股份
899,603717,天域生态
900,600745,闻泰科技
901,605166,聚合顺
902,2371,北方华创
903,2028,思源电气
904,688556,高测股份
905,1979,招商蛇口
906,603066,音飞储存
907,300189,神农科技
908,600985,淮北矿业
909,12,南  玻Ａ
910,300426,唐德影视
911,2884,凌霄泵业
912,601028,玉龙股份
913,300726,宏达电子
914,2700,ST浩源
915,663,永安林业
916,600732,爱旭股份
917,600213,亚星客车
918,601225,陕西煤业
919,2829,星网宇达
920,688002,睿创微纳
921,688660,电气风电
922,2119,康强电子
923,300554,三超新材
924,300452,山河药辅
925,2102,ST冠福
926,601366,利群股份
927,688296,和达科技
928,688508,芯朋微
929,300759,康龙化成
930,600811,东方集团
931,603662,柯力传感
932,603129,春风动力
933,300447,全信股份
934,2034,旺能环境
935,600563,法拉电子
936,688722,同益中
937,300450,先导智能
938,300208,青岛中程
939,300727,润禾材料
940,603955,大千生态
941,688396,华润微
942,600085,同仁堂
943,300919,中伟股份
944,688707,振华新材-U
945,301076,新瀚新材
946,600486,扬农化工
947,2364,中恒电气
948,688217,睿昂基因
949,600754,锦江酒店
950,300717,华信新材
951,600590,泰豪科技
952,420,吉林化纤
953,2402,和而泰
954,2575,*ST群兴
955,603786,科博达
956,2984,森麒麟
957,688786,悦安新材
958,300661,圣邦股份
959,2930,宏川智慧
960,7,*ST全新
961,603896,寿仙谷
962,2448,中原内配
963,2747,埃斯顿
964,603223,恒通股份
965,2867,周大生
966,2850,科达利
967,600535,天士力
968,688067,爱威科技
969,300775,三角防务
970,2656,ST摩登
971,600363,联创光电
972,603590,康辰药业
973,600456,宝钛股份
974,300243,瑞丰高材
975,300690,双一科技
976,688270,臻镭科技
977,300347,泰格医药
978,300596,利安隆
979,2506,协鑫集成
980,300811,铂科新材
981,2756,永兴材料
982,600029,南方航空
983,605011,杭州热电
984,601898,中煤能源
985,300033,同花顺
986,300124,汇川技术
987,603315,福鞍股份
988,733,振华科技
989,513,丽珠集团
990,300409,道氏技术
991,826,启迪环境
992,600287,江苏舜天
993,601838,成都银行
994,600900,长江电力
995,300252,金信诺
996,603995,甬金股份
997,605162,新中港
998,601001,晋控煤业
999,2533,金杯电工
1000,2167,东方锆业
1001,600566,济川药业
1002,688097,博众精工
1003,300470,中密控股
1004,601872,招商轮船
1005,603177,德创环保
1006,2597,金禾实业
1007,2118,紫鑫药业
1008,2287,奇正藏药
1009,603332,苏州龙杰
1010,600048,保利发展
1011,688257,新锐股份
1012,600483,福能股份
1013,688191,智洋创新
1014,600761,安徽合力
1015,2483,润邦股份
1016,488,晨鸣纸业
1017,300796,贝斯美
1018,301130,C西点
1019,601016,节能风电
1020,300425,中建环能
1021,300763,锦浪科技
1022,2258,利尔化学
1023,603031,安德利
1024,2375,亚厦股份
1025,2746,仙坛股份
1026,301003,江苏博云
1027,300319,麦捷科技
1028,831726,朱老六
1029,911,南宁糖业
1030,690,宝新能源
1031,600383,金地集团
1032,688690,纳微科技
1033,831445,龙竹科技
1034,300752,隆利科技
1035,688550,瑞联新材
1036,703,恒逸石化
1037,300071,*ST嘉信
1038,688269,凯立新材
1039,600635,大众公用
1040,300342,天银机电
1041,600329,中新药业
1042,601166,兴业银行
1043,2283,天润工业
1044,421,南京公用
1045,600306,*ST商城
1046,600885,宏发股份
1047,2295,精艺股份
1048,603348,文灿股份
1049,612,焦作万方
1050,603659,璞泰来
1051,603936,博敏电子
1052,300817,双飞股份
1053,603829,洛凯股份
1054,912,泸天化
1055,2492,恒基达鑫
1056,2246,北化股份
1057,603818,曲美家居
1058,2808,恒久科技
1059,2526,山东矿机
1060,603863,ST松炀
1061,300682,朗新科技
1062,601985,中国核电
1063,688378,奥来德
1064,2012,凯恩股份
1065,300711,广哈通信
1066,2864,盘龙药业
1067,300455,康拓红外
1068,1227,兰州银行
1069,600979,广安爱众
1070,601702,华峰铝业
1071,300853,申昊科技
1072,300045,华力创通
1073,601009,南京银行
1074,518,四环生物
1075,300509,新美星
